"Country" "Year" "Child_mortality" "Fertility" "GDPPPP_percapita" "Gini" "Life_exp" "Population" "Population_density" "Population_over_60" "Urban_population"
"83" "Japan" "1960" 3.97 2.04 7390 34 68.3 93.7 251 8.95 63.3
"84" "Jordan" "1960" 15.6 7.69 4320 36.9 59.4 0.933 9.55 6.21 50.9
"85" "Kazakhstan" "1960" 10.7 4.56 9590 46.3 61.4 9.93 3.45 7.72 44.2
"86" "Kenya" "1960" 19.8 7.95 1890 73.5 54.3 8.12 13.3 4.56 7.36
"87" "Kiribati" "1960" 19.5 6.79 3200 36.3 48.2 0.0412 64.9 7.13 16.3
"88" "Kuwait" "1960" 14.5 7.24 47400 35.5 69.2 0.269 17.1 3.81 74.9
"89" "Kyrgyz Republic" "1960" 13.9 5.47 4670 45.5 55.8 2.17 11.6 9.24 34.2
"90" "Lao" "1960" 25.4 5.96 896 35.2 40.2 2.12 9.2 4.63 7.95
"91" "Latvia" "1960" 3.9 1.91 7790 26.9 70.3 2.13 34.6 15.1 52.9
"92" "Lebanon" "1960" 7.58 5.74 6760 46.1 64.9 1.8 176 8.46 42.3
"93" "Lesotho" "1960" 18.9 5.84 566 55.8 53.3 0.837 24.3 6.87 3.51
"94" "Liberia" "1960" 31.4 6.41 2010 36.8 40.8 1.12 11.8 4.82 18.6
"95" "Libya" "1960" 27.9 7.2 3890 40.4 52.8 1.45 0.851 6.76 27.3
"96" "Lithuania" "1960" 4.87 2.54 9520 31.1 69.9 2.77 45.9 12.1 39.5
"97" "Luxembourg" "1960" 3.75 2.35 18400 27.7 68.9 0.315 121 16.2 69.6
"98" "Madagascar" "1960" 24.1 7.3 2080 44.7 44.8 5.1 8.72 5.56 10.6
"99" "Malawi" "1960" 36.7 6.94 730 47.6 37.7 3.66 38.3 4.72 4.39
"100" "Malaysia" "1960" 9.26 6.45 2840 47.3 62.8 8.16 23.8 4.35 26.6
"101" "Maldives" "1960" 34 7.02 2540 41.4 37.8 0.0899 305 4.91 11.2
"102" "Mali" "1960" 42.3 6.97 989 53.9 37.7 5.26 4.38 4.62 11.1
"103" "Malta" "1960" 4.07 3.53 2770 31.6 69.1 0.313 1070 10.7 90.1
"104" "Mauritania" "1960" 25.3 6.78 1060 39.4 50.6 0.85 0.814 4.01 6.88
"105" "Mauritius" "1960" 10.2 6.17 5110 38.3 58.1 0.66 333 4.84 35.1
"106" "Mexico" "1960" 15 6.77 5490 51.3 57.1 37.8 18.5 4.63 50.8
"107" "Micronesia, Fed. Sts." "1960" 11.7 6.93 1610 44 53 0.0445 61.4 5.53 22.3
"108" "Moldova" "1960" 9.22 3.33 5160 20.7 58.4 3 95.3 8.44 23.4
"109" "Mongolia" "1960" 22.8 6.95 1060 34.6 43.9 0.956 0.628 8.55 35.7
"110" "Montenegro" "1960" 9.7 3.6 2840 32.8 70.8 0.487 34.2 9.9 18.8
"111" "Morocco" "1960" 23.7 7.04 2460 45.2 46.7 12.3 26.4 4.78 29.4
"112" "Mozambique" "1960" 27.7 6.95 413 54 45.1 7.18 8.63 4.68 6.87
"113" "Myanmar" "1960" 24.7 6.05 1050 32.5 38.7 21.7 33.2 5.78 19.2
"114" "Namibia" "1960" 12.3 6.15 5640 49.2 56 0.634 0.717 6.65 17.9
"115" "Nepal" "1960" 32.2 5.96 1140 30.6 44.6 10.1 69.1 5.01 3.48
"116" "Netherlands" "1960" 2.08 3.12 15400 42.3 73.5 11.4 341 13.1 59.8
"117" "New Zealand" "1960" 2.79 3.54 17500 31 71.2 2.37 8.99 12.3 76
"118" "Nicaragua" "1960" 19.4 7.34 3660 50.8 53.6 1.77 14.9 3.99 39.6
"119" "Niger" "1960" 31.9 7.45 1410 39.3 40.3 3.39 2.76 2.37 5.79
"120" "Nigeria" "1960" 34 6.35 1520 47.8 46.8 45.1 49.3 5.51 15.4
"121" "North Korea" "1960" 11.7 4.58 915 43.3 47.6 11.4 96.8 5.05 40.2
"122" "North Macedonia" "1960" 11.1 3.84 4170 39.4 57.5 1.49 58.7 7.61 34
"123" "Norway" "1960" 2.26 2.88 13300 30.7 73.4 3.58 11.8 16.1 49.9
"124" "Oman" "1960" 37.1 7.25 1730 42 45.1 0.552 1.73 5.56 16.4
"125" "Pakistan" "1960" 25.3 6.6 1200 32.3 51.3 45 59.6 5.63 22.1
"126" "Palestine" "1960" 18.8 7.69 1430 36 58.8 1.07 178 5.73 44
"127" "Panama" "1960" 8.95 5.87 3740 56.5 65.9 1.13 15.2 5.61 41.2
"128" "Papua New Guinea" "1960" 19.8 6.28 1240 46.1 53.7 2.26 4.38 1.9 3.73
"129" "Paraguay" "1960" 8.24 6.5 2730 40.8 69.1 1.9 4.68 5.63 35.6
"130" "Peru" "1960" 22.7 6.97 5500 55.6 47.3 10.2 7.95 5.91 46.8
"131" "Philippines" "1960" 10.4 7.15 2740 44.6 61.3 26.3 95 3.91 30.3
"132" "Poland" "1960" 6.5 3.11 5960 22.1 67.9 29.6 96.4 9.36 47.9
"133" "Portugal" "1960" 11.4 3.16 5480 49.5 64.7 8.84 96.6 11.6 35
"134" "Qatar" "1960" 13.8 6.97 16800 37.5 65.3 0.0474 3.14 5.38 85.3
"135" "Romania" "1960" 9.52 2.34 1870 19 65.8 18.6 80.2 10.5 34.2
"136" "Russia" "1960" 5.99 2.56 6460 25.9 69 120 7.31 9.19 53.7
"137" "Rwanda" "1960" 22 8.19 801 38.5 42.2 2.94 123 4.96 2.6
"138" "Samoa" "1960" 13.5 7.65 3780 40.7 60.7 0.109 40 4.21 18.9
"139" "Sao Tome and Principe" "1960" 14.4 6.24 1570 32.9 45 0.0643 70.9 5.87 16.1
"140" "Saudi Arabia" "1960" 24.2 7.22 6890 39.3 54.3 4.09 1.94 5.64 31.3
"141" "Senegal" "1960" 29.6 7 2680 64 46.9 3.21 17 4.78 23
"142" "Serbia" "1960" 10.8 2.49 4590 38.4 63.5 7.56 85.7 8.34 29.1
"143" "Seychelles" "1960" 10.5 5.27 3790 41.4 63.6 0.0416 94.5 8.95 27.7
"144" "Sierra Leone" "1960" 39.3 6.13 1370 53.4 42.7 2.32 32.1 6.26 17.4
"145" "Singapore" "1960" 4.77 5.82 4030 44.7 65.5 1.63 2340 3.18 100
"146" "Slovak Republic" "1960" 4.15 3.09 9610 28 70.4 4.14 84.1 10.9 33.5
"147" "Slovenia" "1960" 2.39 2.34 8330 30.7 65.3 1.59 79.4 12 28.2
"148" "Solomon Islands" "1960" 18.9 6.39 1260 46.8 45.8 0.118 4.63 4.7 5.77
"149" "Somalia" "1960" 27.3 7.25 1370 35.6 45 2.76 4.58 5.28 17.3
"150" "South Africa" "1960" 19.1 6.17 7960 66 53.9 17.1 13.5 5.33 46.6
"151" "South Korea" "1960" 11.2 6.1 1800 31.6 59.1 25.3 261 5.44 27.7
"152" "South Sudan" "1960" 35.7 6.69 2770 47.4 48.6 2.84 5.15 4.91 8.75
"153" "Spain" "1960" 5.68 2.77 5860 26.2 69.5 30.4 60.5 12.1 56.6
"154" "Sri Lanka" "1960" 9.78 5.54 2400 35.7 64 9.87 156 6.67 16.4
"155" "St. Lucia" "1960" 13.2 6.97 1970 42.6 59.2 0.0897 149 6.13 21.5
"156" "St. Vincent and the Grenadines" "1960" 12.9 7.22 3320 40.8 61 0.081 216 6.29 25.9
"157" "Sudan" "1960" 17.7 6.69 1900 39.2 49.8 7.54 4.72 4.54 10.7
"158" "Suriname" "1960" 9.22 6.61 6810 45.9 63 0.288 1.72 5.95 47.3
"159" "Sweden" "1960" 1.96 2.2 16100 35.8 73.4 7.48 18.4 17 72.5
"160" "Switzerland" "1960" 2.65 2.52 34300 37.9 71.8 5.28 133 15.1 70.9
"161" "Syria" "1960" 17.2 7.47 5600 37.3 61 4.57 25.1 7.13 36.8
"162" "Tajikistan" "1960" 19.6 6.55 4700 31.3 52.5 2.09 14.9 7.03 33.2
"163" "Tanzania" "1960" 24.3 6.81 851 37.8 45.3 10.1 11.3 3.99 5.25
"164" "Thailand" "1960" 14.6 6.15 2000 41.2 60.9 27.4 52.1 4.68 19.7
"165" "Timor-Leste" "1960" 32.7 6.37 814 36.8 45.7 0.475 31.5 4.33 10.1
"166" "Togo" "1960" 27 6.52 1230 57.4 47 1.58 30.4 5.45 10.1
"167" "Tonga" "1960" 9.38 7.36 1750 39.7 64.6 0.0616 104 4.76 17.6
"168" "Trinidad and Tobago" "1960" 6.75 5.26 11600 46.6 64.3 0.848 165 5.08 34.2
"169" "Tunisia" "1960" 28.8 6.94 2490 64.6 49.4 4.18 27 5.17 37.5
"170" "Turkey" "1960" 25.8 6.37 3540 50.6 49.5 27.5 35.7 6.53 31.5
"171" "Turkmenistan" "1960" 18.6 6.59 6490 35.1 55.1 1.6 3.41 7.62 46.4
"172" "Uganda" "1960" 22.3 7 1320 53.3 49 6.77 38.1 3.68 4.42
"173" "Ukraine" "1960" 5.36 2.42 6530 36.8 71.1 42.7 73.8 10.8 46.8
"174" "United Arab Emirates" "1960" 20 6.93 41600 33.2 60.3 0.0924 1.88 3.66 73.5
"175" "United Kingdom" "1960" 2.66 2.69 16000 32.7 71.2 52.4 216 16.9 78.4
"176" "United States" "1960" 3.01 3.67 21000 36.7 70.1 187 19.3 13.3 70
"177" "Uruguay" "1960" 6.36 2.88 8890 41.3 68.3 2.54 14.6 11.9 80.2
"178" "Uzbekistan" "1960" 16.9 6.26 3580 46.2 61.1 8.53 19.7 9.45 34
"179" "Vanuatu" "1960" 15.4 7.2 1670 38.9 51.4 0.0637 5.3 5.47 10.4
"180" "Venezuela" "1960" 7.92 6.62 14100 60.7 65.2 8.14 8.9 3.8 61.6
"181" "Vietnam" "1960" 10.1 6.35 1480 36.5 58.4 32.7 104 7.81 14.7
"182" "Yemen" "1960" 41.8 7.49 1790 37.3 36.5 5.32 10.5 5.91 9.1
"183" "Zambia" "1960" 20.6 7.12 1780 64.3 49.6 3.07 4.2 4.39 18.1
"184" "Zimbabwe" "1960" 15.1 7.16 1740 38.9 55.5 3.78 9.84 5.22 12.6
"185" "Afghanistan" "1965" 33 7.45 1500 32.5 46.1 9.96 14.7 4.63 9.9
"186" "Albania" "1965" 15.3 5.77 3130 26.7 64.8 1.9 73.4 7.29 31.2
"187" "Algeria" "1965" 24.6 7.68 5550 39.8 56.8 12.6 5.2 6.09 37.6
"188" "Angola" "1965" 29.1 7.62 2960 55.5 45.6 5.77 4.6 4.88 12.5
"189" "Antigua and Barbuda" "1965" 6.43 4.19 3920 40.3 66.7 0.0587 136 7.49 36.6
"190" "Argentina" "1965" 5.75 3.06 12200 39.3 66.1 22.2 7.9 9.38 76.4
"191" "Armenia" "1965" 10.4 3.98 7510 41.1 63.6 2.21 78.5 7.71 55.6
"192" "Australia" "1965" 2.24 3 18700 32.6 71.1 11.3 1.48 12.3 83.1
"193" "Austria" "1965" 3.27 2.7 14800 47.6 70.1 7.31 88.1 19.4 65
"194" "Azerbaijan" "1965" 12.8 5.79 6320 39.2 55.6 4.59 58.5 6.59 51.2
"195" "Bahamas" "1965" 3.07 4.06 25600 40 63.3 0.14 27 5.12 63.3
"196" "Bahrain" "1965" 12.5 7.17 29800 36.4 60.9 0.187 247 3.22 82.5
"197" "Bangladesh" "1965" 23.4 6.88 1180 22.2 45.9 55.4 449 5.08 6.21
"198" "Barbados" "1965" 6.12 3.96 7430 48.2 68.2 0.235 553 10.2 37.1
"199" "Belarus" "1965" 2.98 2.43 6260 21.2 72.6 8.51 43.6 11.6 38.1
"200" "Belgium" "1965" 2.79 2.56 16200 42.2 70.8 9.44 311 18.5 93.1
"201" "Belize" "1965" 11.8 6.4 2620 60.8 66.4 0.106 4.6 6.44 52.5
"202" "Benin" "1965" 28.5 6.54 1790 38.2 46.8 2.63 24.3 8.28 12.5
"203" "Bhutan" "1965" 31 6.67 1180 41.3 45.5 0.254 6.64 4.05 4.69
"204" "Bolivia" "1965" 26 6.59 3420 52.8 46.2 4.04 3.8 6.6 38.3
"205" "Bosnia and Herzegovina" "1965" 10.7 3.42 4080 30.9 64.2 3.54 69.6 6.96 22.8
"206" "Botswana" "1965" 14.4 6.69 923 53.7 55.1 0.56 1.01 5.76 3.84
"207" "Brazil" "1965" 14.8 5.82 4310 57.1 54.8 83.4 10.1 4.73 51
"208" "Brunei" "1965" 7.92 6.07 76400 34.5 61.9 0.102 18.7 4.5 52.6
"209" "Bulgaria" "1965" 3.75 2.17 7380 21.8 71.5 8.22 76.1 13 45.8
"210" "Burkina Faso" "1965" 32.6 6.45 651 48.3 42 5.17 18.9 5.12 5.2
"211" "Burundi" "1965" 24.3 7.18 805 34.7 45.3 3.09 120 5.28 2.29
"212" "Cambodia" "1965" 23.3 6.87 1270 42.6 51.3 6.47 34.1 4.67 10.8
"213" "Cameroon" "1965" 25.2 5.95 2820 39.6 49.5 5.77 12.2 6.22 16.9
"214" "Canada" "1965" 2.71 3.18 19400 33.2 71.9 19.6 2.17 11 72.9
"215" "Cape Verde" "1965" 21 6.99 1440 52.7 60.2 0.23 60.6 7.12 18.1
"216" "Central African Republic" "1965" 25.4 5.94 1710 69.8 47.3 1.64 2.97 6.61 23.5
"217" "Chad" "1965" 27.9 6.34 1110 29.3 48.5 3.31 2.65 6.35 8.41
"218" "Chile" "1965" 11.5 4.75 8140 60 58.7 8.99 11.9 5.79 71.7
"219" "China" "1965" 11.5 6.02 1310 29.2 58.5 724 75.4 6.19 18.1
"220" "Colombia" "1965" 11.5 6.57 4920 57.5 61.6 18.7 16.3 4.7 52.8
"221" "Comoros" "1965" 26.5 7 1490 49 49.3 0.207 115 5.77 17
"222" "Congo, Dem. Rep." "1965" 26.2 6.09 2550 42.4 48.3 17.4 7.69 4.7 23.4
"223" "Congo, Rep." "1965" 16.3 6.09 2500 42.9 45.4 1.16 3.54 5.78 35.3
"224" "Costa Rica" "1965" 8.9 5.85 5920 49.7 65.5 1.59 31.4 4.96 35.8
"225" "Cote d'Ivoire" "1965" 27.9 7.71 2930 49.9 48.4 4.23 14.1 4.1 24.5
"226" "Croatia" "1965" 4.92 2.18 7840 22 67.6 4.33 78.2 13.3 35
"227" "Cuba" "1965" 4.9 4.62 3590 38.3 69.8 7.96 75.6 7.53 59.3
"228" "Cyprus" "1965" 4.47 3.13 5980 29.9 66.5 0.581 66.8 10.2 38.2
"229" "Czech Republic" "1965" 3.19 2.05 10200 20.3 70.3 9.81 126 16.5 62
"230" "Denmark" "1965" 2.11 2.61 20800 30.3 72.7 4.76 112 16.5 77
"231" "Djibouti" "1965" 22.9 6.63 4700 36.2 57.3 0.115 4.69 4.13 56.1
"232" "Dominican Republic" "1965" 13.8 7.05 2470 43.8 61.6 3.88 80.1 4.09 35.1
"233" "Ecuador" "1965" 15.3 6.56 4870 41.9 59.8 5.24 21.5 6.31 36.6
"234" "Egypt" "1965" 26.8 6.58 2360 25.7 50.7 30.4 31 6.2 39.7
"235" "El Salvador" "1965" 16.7 6.55 4120 43.7 56.4 3.2 153 5.04 38.9
"236" "Equatorial Guinea" "1965" 26.7 5.73 2210 41.5 42.9 0.276 10.5 7.59 26.5
"237" "Estonia" "1965" 3 1.97 8980 44.2 70.8 1.29 29.7 16.2 61.3
"238" "Eswatini" "1965" 19.4 6.8 1570 61.3 48.5 0.374 22.4 4.59 6.49
"239" "Ethiopia" "1965" 24.8 6.86 967 53 39 25 24.7 4.66 7.59
"240" "Fiji" "1965" 6.36 5.48 4490 43.9 65.6 0.464 25.7 3.73 32.6
"241" "Finland" "1965" 2.02 2.46 14300 33.3 69.6 4.57 15.1 12.5 59.7
"242" "France" "1965" 2.23 2.77 17100 48.3 71.8 48.7 87.4 17.6 67.1
"243" "Gabon" "1965" 20.6 5.08 9180 65.9 51.7 0.533 2.13 11.5 23.8
"244" "Gambia" "1965" 32.8 5.83 1690 41.5 55.2 0.405 45.3 4.62 14.5
"245" "Georgia" "1965" 9.09 2.88 6670 29.2 63 4.37 63.6 10.6 45.5
"246" "Germany" "1965" 3.1 2.48 17700 32.2 70.7 76.3 218 18.7 72
"247" "Ghana" "1965" 20.3 6.92 2680 40.4 53 7.74 34.4 4.79 26.1
"248" "Greece" "1965" 3.96 2.41 8780 46 73 8.45 65.2 14.2 60
"249" "Grenada" "1965" 7.52 5.6 2410 41.4 65.6 0.0946 289 7.83 31.3
"250" "Guatemala" "1965" 19.6 6.74 4480 57.4 49.5 4.87 44.3 4.1 34
"251" "Guinea" "1965" 33.9 6.16 1540 53.1 42.8 3.8 15.6 6.49 13
"252" "Guinea-Bissau" "1965" 30.9 5.97 1460 39.9 36.8 0.65 20.5 6.13 14.3
"253" "Guyana" "1965" 7.8 5.96 3780 43.9 60.3 0.652 3.3 5.3 29.2
"254" "Haiti" "1965" 26.3 6.18 2120 61 46.5 4.26 155 5.89 17.6
"255" "Honduras" "1965" 17.6 7.44 2760 66.5 54.4 2.35 22 5.07 25.7
"256" "Hong Kong, China" "1965" 3.63 4.42 8460 46.1 70 3.47 3280 5.59 86.4
"257" "Hungary" "1965" 4.44 1.85 8750 21.9 69.4 10.2 112 15.6 58
"258" "Iceland" "1965" 1.91 3.6 16500 25.8 73.7 0.192 1.92 11.9 82.7
"259" "India" "1965" 22.7 5.83 1370 36.2 45.7 499 168 5.79 18.8
"260" "Indonesia" "1965" 19.5 5.61 1810 37.1 43.5 100 52.9 4.85 15.8
"261" "Iran" "1965" 29.9 6.83 5370 56.1 48.7 25 15.1 6.02 37.1
"262" "Iraq" "1965" 14.5 7.04 6090 40.6 61.1 8.38 19.1 6.85 50.7
"263" "Ireland" "1965" 2.86 3.95 9680 39.6 70.8 2.82 41.7 15.7 46.2
"264" "Israel" "1965" 3.43 3.81 11600 35.2 71.7 2.49 109 9.78 80.9
"265" "Italy" "1965" 4.11 2.53 14600 41.3 70.9 51.7 174 14.9 61.8
"266" "Jamaica" "1965" 6.79 5.82 5900 39.9 66.8 1.76 161 8.14 37.5
"267" "Japan" "1965" 2.46 2.02 10900 32.9 70.9 98.4 264 9.83 67.9
"268" "Jordan" "1965" 11.6 8.06 6020 36.9 61.4 1.17 12.3 5.31 54.3
"269" "Kazakhstan" "1965" 9.63 4.05 11100 47.2 63.4 11.8 4.04 7.76 47
"270" "Kenya" "1965" 16.7 8.12 1850 67.9 56.3 9.53 16.2 3.85 8.61
"271" "Kiribati" "1965" 16.6 6.5 3750 36 50 0.0464 73.6 6.5 19.6
"272" "Kuwait" "1965" 10 7.41 85300 34.3 69.7 0.472 28.8 3.08 79.3
"273" "Kyrgyz Republic" "1965" 12.9 5.42 5250 46.9 58.3 2.57 13.6 8.45 35.9
"274" "Lao" "1965" 24.5 5.97 964 35 40.9 2.38 10.3 4.97 8.32
"275" "Latvia" "1965" 2.82 1.84 9870 26 71.4 2.27 36.8 16.3 56.8
"276" "Lebanon" "1965" 6.64 5.5 7640 45.9 66.6 2.09 204 7.83 50.9
"277" "Lesotho" "1965" 18.9 5.8 740 55.8 53.6 0.922 28.3 6.43 6.37
"278" "Liberia" "1965" 30.9 6.52 2150 36.8 42.7 1.25 13.4 4.84 22.1
"279" "Libya" "1965" 19.8 7.65 4520 40.1 58.5 1.73 1.01 5.82 33.7
"280" "Lithuania" "1965" 3.15 2.35 11100 29.6 72 2.97 48.8 13.6 44.5
"281" "Luxembourg" "1965" 2.87 2.34 23200 27.3 69.6 0.33 127 17.3 72
"282" "Madagascar" "1965" 21.5 7.31 2100 46 46.9 5.77 9.94 5.67 12.4
"283" "Malawi" "1965" 35.4 7.1 730 49.4 39.5 4.13 43.2 4.66 4.91
"284" "Malaysia" "1965" 6.66 5.92 3390 49.8 65.5 9.53 27.7 4.15 29.9
"285" "Maldives" "1965" 30.5 7.2 2920 41.4 42.6 0.103 349 4.43 11.5
